mass_feature,retention_time,mz,z,sample_fraction
Riboflavin-5-phosphate,9.120967741935484,457.112444,1,Dissolved
Riboflavin-5-phosphate,9.05888888888889,457.112444,1,Particulate
Salicylic acid,1.9228,137.02387,-1,Dissolved
Salicylic acid,1.9739024390243902,137.02387,-1,Particulate
Sarcosine,10.1302,90.055504,1,Dissolved
Sarcosine,10.054878048780488,90.055504,1,Particulate
Shikimic acid,10.7928,173.045,-1,Dissolved
Shikimic acid,10.829268292682926,173.045,-1,Particulate
Sodium 2-mercaptoethanesulfonate,2.6021739130434782,140.968013,-1,Dissolved
Sodium 2-mercaptoethanesulfonate,2.8483333333333336,140.968013,-1,Particulate
Succinic acid,12.0326,117.018785,-1,Dissolved
Succinic acid,12.095853658536585,117.018785,-1,Particulate
"Succinic acid, 2H4",12.02891304347826,121.0444,-1,Dissolved
"Succinic acid, 2H4",12.091891891891892,121.0444,-1,Particulate
Succinic semialdehyde,6.412045454545455,101.02387,-1,Dissolved
Succinic semialdehyde,4.028648648648649,101.02387,-1,Particulate
Succinylglycine,12.09,176.055899,1,Dissolved
Succinylglycine,11.89,176.055899,1,Particulate
Sucrose,11.6252,341.10839,-1,Dissolved
Sucrose,11.723658536585367,341.10839,-1,Particulate
"Sucrose, 13C",12.41891304347826,NA,-1,Dissolved
"Sucrose, 13C",11.545135135135135,NA,-1,Particulate
Sulfanilic acid,7.148148148148148,172.006841,-1,Dissolved
Sulfanilic acid,7.0588461538461535,172.006841,-1,Particulate
Sulfoacetic acid,13.9242,138.970122,-1,Dissolved
Sulfoacetic acid,13.811219512195121,138.970122,-1,Particulate
"Sulfoacetic acid, 13C2",13.663076923076924,140.9774,-1,Dissolved
"Sulfoacetic acid, 13C2",13.833243243243244,140.9774,-1,Particulate
Sulfolactic Acid,13.401224489795919,NA,-1,Dissolved
Sulfolactic Acid,13.48235294117647,NA,-1,Particulate
Taurine,10.637692307692307,124.006841,-1,Dissolved
Taurine,9.835652173913044,124.006841,-1,Particulate
"Taurine, 2H4",9.83125,128.0325,-1,Dissolved
"Taurine, 2H4",9.99108108108108,128.0325,-1,Particulate
Taurocyamine,11.868333333333334,168.044287,1,Dissolved
Taurocyamine,12.13625,168.044287,1,Particulate
Thiamine diphosphate,13.1125,425.044974,1,Dissolved
Thiamine diphosphate,12.327352941176471,425.044974,1,Particulate
Thiamine monophosphate,10.888,345.078641,1,Dissolved
Thiamine monophosphate,11.351666666666667,345.078641,1,Particulate
Threonic acid,8.570869565217391,135.02935,-1,Dissolved
Threonic acid,9.2725,135.02935,-1,Particulate
Thymidine,3.1955555555555555,241.082448,-1,Dissolved
Thymidine,2.8680555555555554,241.082448,-1,Particulate
Thymine,2.9872727272727273,125.035103,-1,Dissolved
Thymine,2.852682926829268,125.035103,-1,Particulate
"Thymine, 2H4",3.0082608695652175,129.0602,-1,Dissolved
"Thymine, 2H4",3.014864864864865,129.0602,-1,Particulate
Trehalose,11.650434782608695,341.10839,-1,Dissolved
Trehalose,12.414864864864866,341.10839,-1,Particulate
"Trehalose, 13C",12.41891304347826,NA,-1,Dissolved
"Trehalose, 13C",12.373513513513513,NA,-1,Particulate
Trigonelline,8.0972,138.055503,1,Dissolved
Trigonelline,8.238157894736842,138.055503,1,Particulate
Trimethylamine,6.6072,60.081324,1,Dissolved
Trimethylamine,5.9171875,60.081324,1,Particulate
Trimethylamine N-oxide,6.883414634146342,76.076239,1,Dissolved
Trimethylamine N-oxide,6.94051282051282,76.076239,1,Particulate
Turicine,8.603913043478261,160.097369,1,Dissolved
Turicine,8.510487804878048,160.097369,1,Particulate
UDP-N-acetylglucosamine,12.33,606.073753,-1,Dissolved
UDP-N-acetylglucosamine,12.20888888888889,606.073753,-1,Particulate
UDP-glucose,13.138333333333334,565.047204,-1,Dissolved
UDP-glucose,13.110833333333334,565.047204,-1,Particulate
Uracil,3.8484444444444446,111.019453,-1,Dissolved
Uracil,3.8384615384615386,111.019453,-1,Particulate
Urea,6.001,61.040188,1,Dissolved
Urea,5.97390243902439,61.040188,1,Particulate
Uridine,5.661428571428571,243.061713,-1,Dissolved
Uridine,5.886666666666667,243.061713,-1,Particulate
Urocanic acid,7.6552173913043475,137.035103,-1,Dissolved
Urocanic acid,8.1,137.035103,-1,Particulate
beta-Alanine,11.449583333333333,90.055504,1,Dissolved
beta-Alanine,11.39,90.055504,1,Particulate
beta-Alaninebetaine,9.476739130434783,132.102454,1,Dissolved
beta-Alaninebetaine,9.597567567567568,132.102454,1,Particulate
beta-Glutamic acid,10.910625,148.060984,1,Dissolved
beta-Glutamic acid,11.797317073170731,148.060984,1,Particulate
cis-Aconitic acid,14.403548387096775,173.008615,-1,Dissolved
cis-Aconitic acid,14.534615384615385,173.008615,-1,Particulate
