mass_feature,FinalBMIS,Orig_RSD,FinalRSD,replicate_name,runDate,type,samp_id,replicate,area,date,QC_area,fraction,adjusted_area
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_Hom_16_C,240304,Smp,Hom,16,159484480,240304,159484480,HILICPos,148308919.63280207
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_BLK_Gluc_C,240304,Smp,WT,BLK,98607688,240304,98607688,HILICPos,95237724.68861884
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_BLK_Hom_A,240304,Smp,WT,BLK,39056492,240304,39056492,HILICPos,35872691.96427862
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_BLK_Hom_B,240304,Smp,WT,BLK,78473360,240304,78473360,HILICPos,83562536.29134789
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_BLK_Mix_A,240304,Smp,WT,BLK,10268455,240304,NA,HILICPos,NA
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_Gluc_A,240304,Smp,WT,Gluc,268398144,240304,268398144,HILICPos,263062649.32287663
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_Gluc_B,240304,Smp,WT,Gluc,331428288,240304,331428288,HILICPos,296156678.66630286
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_Gluc_C,240304,Smp,WT,Gluc,348708256,240304,348708256,HILICPos,307420589.8659045
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_Hom_A,240304,Smp,WT,Hom,252513392,240304,252513392,HILICPos,239526376.85705036
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_Hom_B,240304,Smp,WT,Hom,316708608,240304,316708608,HILICPos,286409168.2175333
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_Hom_C,240304,Smp,WT,Hom,399876192,240304,399876192,HILICPos,381732819.47891116
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_Mix_A,240304,Smp,WT,Mix,371462944,240304,371462944,HILICPos,379444601.3877231
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_Mix_B,240304,Smp,WT,Mix,264919872,240304,264919872,HILICPos,282075612.97467273
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240304_Smp_WT_Mix_C,240304,Smp,WT,Mix,274700544,240304,274700544,HILICPos,241313340.31544444
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Poo_MutantFate_Full1,240108,Poo,MutantFate,Full1,279203072,240108,279203072,HILICPos,247745352.0991155
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Poo_MutantFate_Full2,240108,Poo,MutantFate,Full2,244084352,240108,244084352,HILICPos,256503574.36227727
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Poo_MutantFate_Full3,240108,Poo,MutantFate,Full3,490031968,240108,490031968,HILICPos,278327402.42889225
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Poo_MutantFate_Half1,240108,Poo,MutantFate,Half1,150792512,240108,150792512,HILICPos,248945311.99267754
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Poo_MutantFate_Half2,240108,Poo,MutantFate,Half2,124634968,240108,124634968,HILICPos,250636349.42295432
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Poo_MutantFate_Half3,240108,Poo,MutantFate,Half3,233560544,240108,233560544,HILICPos,300919686.0632916
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M1_T1A,240108,Smp,M1,T1A,247833152,240108,247833152,HILICPos,225232220.86288732
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M1_T1B,240108,Smp,M1,T1B,705511232,240108,705511232,HILICPos,409711647.4526119
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M1_T1C,240108,Smp,M1,T1C,376923744,240108,376923744,HILICPos,542160412.5552179
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M1_T2A,240108,Smp,M1,T2A,93120328,240108,93120328,HILICPos,114184748.33800803
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M1_T2B,240108,Smp,M1,T2B,313367680,240108,313367680,HILICPos,170301296.35376102
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M1_T2C,240108,Smp,M1,T2C,277566912,240108,277566912,HILICPos,253090277.10451657
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M2_T1A,240108,Smp,M2,T1A,253544976,240108,253544976,HILICPos,292761638.61075383
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M2_T1B,240108,Smp,M2,T1B,136680704,240108,136680704,HILICPos,189849890.70034748
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M2_T1C,240108,Smp,M2,T1C,392728576,240108,392728576,HILICPos,505190832.95893025
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M2_T2A,240108,Smp,M2,T2A,260433904,240108,260433904,HILICPos,249176782.68969992
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M2_T2B,240108,Smp,M2,T2B,186586176,240108,186586176,HILICPos,184765194.62510535
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M2_T2C,240108,Smp,M2,T2C,390778496,240108,390778496,HILICPos,421261306.8119178
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M3_T1A,240108,Smp,M3,T1A,173522208,240108,173522208,HILICPos,185499683.41376147
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M3_T1B,240108,Smp,M3,T1B,356928640,240108,356928640,HILICPos,216796228.4324839
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M3_T1C,240108,Smp,M3,T1C,189930288,240108,189930288,HILICPos,201378024.59016606
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M3_T2A,240108,Smp,M3,T2A,134744048,240108,134744048,HILICPos,180833829.19008583
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M3_T2B,240108,Smp,M3,T2B,366983840,240108,366983840,HILICPos,236446373.3931264
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M3_T2C,240108,Smp,M3,T2C,226904848,240108,226904848,HILICPos,194385285.95706695
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M4_T1A,240108,Smp,M4,T1A,347959264,240108,347959264,HILICPos,382677585.4600488
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M4_T1B,240108,Smp,M4,T1B,340429024,240108,340429024,HILICPos,389728615.42755854
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M4_T1C,240108,Smp,M4,T1C,421584800,240108,421584800,HILICPos,379364195.4520296
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M4_T2A,240108,Smp,M4,T2A,386509024,240108,386509024,HILICPos,291127092.9419326
Adenine,"Cytosine, 13C2, 15N3",0.19646114649382845,0.0780892656105861,240108_Smp_M4_T2B,240108,Smp,M4,T2B,219425648,240108,219425648,HILICPos,328343269.1966727
