replicate_name,treatment,sample_fraction,"AMP, 15N5",Adenine,Adenosine,Adenosine monophosphate,Citrulline,Cytosine,"DL-Alanine, 2H3","DL-Proline, 2H7","DL-Valine, 2H8",Deoxyadenosine,"GMP, 15N5",Glutathione disulfide,Guanosine,Homarine,L-Arginine,L-Asparagine,L-Cysteic acid,L-Glutamic acid,L-Homoserine,L-Lysine,L-Phenylalanine,L-Proline,L-Serine,L-Tryptophan,L-Tyrosine,N-Methyl-L-glutamic acid,"Sucrose, 13C","Trehalose, 13C",UDP-N-acetylglucosamine,n-methyl glutamine,unknown_C6H9NO3_1_neg,unknown_C6H9NO3_2_neg,unknown_C6H9NO3_3_neg,unknown_C6H9NO4_neg,unknown_C6H9NO4_pos,unknown_C6H9NO4_pos_early,unknown_C7H9NO5_pos,"DL-Histidine, 15N","Nitrate, 15N"
240108_Smp_M3_T2A,SPO3191 T2,Particulate,50921632.12493107,180833829.19008583,13632884.186388277,2811716.4595225095,3371118.961004603,33371385.366054136,132118320.9606804,250979872,52835332.756935894,NA,13059242.345868496,20691770.37509445,NA,25708162.447328024,62562440.4949381,3222631.1789158066,381001.1831091686,5049282310.512998,NA,6992004.535374239,82865552.03838046,61546104,13890367.403475298,2432545.6031852425,36709737.38815877,811671.089488654,71938831.89868088,68156042.21153899,1454253.025933416,19773472.63589794,NA,NA,NA,NA,986136,NA,NA,NA,NA
240108_Smp_M3_T2B,SPO3191 T2,Particulate,50277485.85364159,236446373.3931264,455285084.4089923,12156062.335756153,4644690.095666745,12400637.845413277,83641478.50212796,320982752,55770681.25383544,3061807.394953304,13211142.08436357,9861949.087251484,3387213.314799603,5725468.7727466235,84774415.1412907,2658863.172057947,659450.9422260795,4560206261.72218,4000222.549859294,17290755.729799263,89611969.34468026,110893440,13778400.963340944,3871462.4072087416,35119878.683231965,312663.4912761589,69374853.51536143,64644452.3184639,1853010.8740785804,14592190.987766376,35997.64914979121,231128.4538504917,NA,953925,489781,NA,NA,NA,NA
240108_Smp_M3_T2C,SPO3191 T2,Particulate,46506327.46188173,194385285.95706695,457817272.34319377,5916048.154528827,4050276.4078000514,17114195.59749229,73527530.78207004,242866272,51038771.37311547,3018715.004715147,10770268.037601076,13703654.681725057,3471777.369929148,NA,73383135.5279179,2165822.7300144252,503186.04176329,3602620434.745009,2283693.8915604376,10968274.93255609,77504572.4533334,59107296,8609567.653802058,3388582.4979804973,24916232.77908376,234429.88834663515,57958471.95428598,50244198.17133391,1024044.4861746331,13556755.36320789,NA,NA,NA,NA,474166,NA,NA,NA,NA
240108_Smp_M4_T1A,SPO3192 T1,Particulate,45527545.69059802,382677585.4600488,1055425658.1976628,6095835.78444258,9195736.764037242,12690797.175125878,85384616.46262571,242747040,50455531.51562824,7143996.136309012,11283352.128333334,4011774.8328576554,8135176.819705629,NA,66081128.20356596,2636306.060838554,268806.501598766,4850591087.90527,NA,10620434.9145263,83827437.69621517,102223640,12550923.304299625,4201328.86516895,7033115.522296483,377261.74049122946,61568019.99229941,51997147.105811685,1030721.5619768982,6183778.084625853,NA,NA,NA,NA,67960,NA,NA,NA,NA
240108_Smp_M4_T1B,SPO3192 T1,Particulate,51696851.70910122,389728615.42755854,1879232750.9401717,7071290.182171825,3506587.5948584485,15656778.106341418,152458617.20597893,269543456,51391586.96755184,21447293.248844866,14196802.194562651,11653354.973082889,15020566.327262145,1514973.5052579767,86745319.62012316,3735687.336484588,403146.5353210304,5340574823.732908,NA,6198277.1396875065,97042317.19145946,114591392,14385072.050481804,4297481.284151254,15365927.281862628,14593504.732899472,70801471.78531021,63422381.16495681,588709.6276063281,17962230.29291423,NA,NA,NA,NA,1119824,NA,NA,NA,NA
240108_Smp_M4_T1C,SPO3192 T1,Particulate,44418671.03078734,379364195.4520296,2111268876.9470952,6957149.8668469135,4977119.698326212,12842380.136320302,143421551.73684707,320564672,57939768.6460004,24007967.66361183,11403304.2695618,7448785.307163033,17967576.950902976,42880755.88360419,111623291.24414907,4613375.598776194,491331.60719210375,5474610608.390398,NA,9454678.479404204,116204724.57183991,156957376,14053411.005821778,6935165.704628361,29354265.755706053,6549791.091889171,65551756.31051091,50095488.58851302,1005562.511068012,15236919.99048995,NA,NA,NA,NA,751148,NA,NA,NA,NA
240108_Smp_M4_T2A,SPO3192 T2,Particulate,67560047.88751812,291127092.9419326,500156316.1238355,27311481.15961897,51682420.5581723,19933973.041800145,78408389.64382395,328808288,53754117.45921751,4449181.313235113,17872047.4984028,6313764.0219536,8038634.752374141,6847334.655571167,206146148.15872476,2820495.96938664,864419.3422116395,5213671618.252433,NA,29594838.30901048,75231127.41464321,279953856,7017730.285017515,7741428.120678644,40685661.94409206,1769352.6384190093,79568315.9703017,77024344.59982932,1604125.2198395676,59833301.5021382,NA,NA,NA,968449,1090587,NA,NA,NA,NA
240108_Smp_M4_T2B,SPO3192 T2,Particulate,56920205.7083043,328343269.1966727,475169667.6012886,17280846.734423626,7457367.885777249,22651144.50442555,98567189.65377931,217533264,42203588.65811008,4802108.445553844,14401557.260048686,7256903.072458957,3687670.2101519015,NA,127644920.05020218,3783321.394211246,308834.98041688174,6320050563.605586,NA,17341104.94773338,120913445.21229205,95325136,18114370.531555496,6578450.184205565,45983550.08704669,115333.60380273269,63507285.88487103,62969354.45782915,2504988.0147060333,22952063.831533797,NA,NA,NA,NA,87286,NA,NA,NA,NA
240108_Smp_M4_T2C,SPO3192 T2,Particulate,55730404.33459276,408547274.62293625,400560498.5009582,7214866.804407266,23207425.1481676,12450338.94384751,93882961.79886337,209782480,38240323.70132352,4756990.09482905,15205682.068573916,4007476.0884061246,4807373.496473937,NA,130770837.39418872,894253.2475443122,390269.4319998986,3777196150.920202,2914574.9006968355,15862621.30709868,48957497.82550635,109241352,3599987.7180445045,4798862.5724428175,17840612.260868456,1063542.9602916683,58748556.419743195,63622653.219438754,820581.4408003937,59507333.40005914,NA,NA,NA,NA,168541,NA,NA,NA,NA
240108_Smp_WT_T1A,Wild type T1,Particulate,35353346.74236631,197677645.94922248,16858268.30641151,2131879.3763548443,8146541.930029017,43794324.654031865,118454535.11361922,249456656,55625406.69652335,493098.8846625436,9271376.959419718,50648614.53516634,NA,47729594.06955089,90479873.0316554,5070383.0992242275,964110.4055493978,7092632415.733574,NA,7494249.407248077,101068234.61938882,109580640,22271013.718543574,3836232.91474748,17896349.162235808,29648450.821984258,72509201.57630156,64293057.32371265,3583833.272755532,53829987.7990325,515706.4152156952,NA,NA,NA,NA,NA,NA,NA,NA
