Compound,Cruise,SampID,replicate,Local_Date,Local_Time,Lat,Long,Part.Conc.nM,Diss.Conc.nM,Total_nM,Perc_Diss
Homarine,KM1906,MU15,B,4/23/19,18:25:00,38.45,-158,0.21240237299669845,2.2152759463492195,2.427678319345918,0.9125080241051354
Homarine,KM1906,MU15,C,4/23/19,18:25:00,38.45,-158,0.1499583043746027,2.377519587832044,2.5274778922066465,0.9406687968124304
Homarine,KM1906,MU16,A,4/24/19,06:00:00,40.53,-158,0.2863241986563421,3.3892982954178605,3.6756224940742026,0.9221018482942819
Homarine,KM1906,MU16,B,4/24/19,06:00:00,40.53,-158,0.47756685038053065,3.50082709186178,3.978393942242311,0.879959889012056
Homarine,KM1906,MU16,C,4/24/19,06:00:00,40.53,-158,0.40022526004844183,2.5235795234843255,2.923804783532767,0.863114917144072
Homarine,KM1906,MU17,A,4/24/19,14:20:00,42.334,-158,0.29464201967695114,0.9125395368236652,1.2071815565006163,0.7559256782127612
Homarine,KM1906,MU17,B,4/24/19,14:20:00,42.334,-158,0.3642967067070776,1.029547637895505,1.3938443446025826,0.7386388888273268
Homarine,KM1906,MU17,C,4/24/19,14:20:00,42.334,-158,0.38829847906737136,NA,NA,NA
Homarine,KM1906,MU18,A,4/24/19,18:30:00,42.09,-158,0.3236433592919926,NA,NA,NA
Homarine,KM1906,MU18,B,4/24/19,18:30:00,42.09,-158,0.369496838262957,NA,NA,NA
Homarine,KM1906,MU18,C,4/24/19,18:30:00,42.09,-158,0.34953550457725147,NA,NA,NA
Homarine,KM1906,MU19,A,4/25/19,05:40:00,40.09,-158,0.2102857015343638,NA,NA,NA
Homarine,KM1906,MU19,B,4/25/19,05:40:00,40.09,-158,0.1978493471750931,NA,NA,NA
Homarine,KM1906,MU19,C,4/25/19,05:40:00,40.09,-158,0.18305977131639664,NA,NA,NA
Homarine,KM1906,MU20,A,4/25/19,18:24:00,37.48,-158,0.35870616471773736,NA,NA,NA
Homarine,KM1906,MU20,B,4/25/19,18:24:00,37.48,-158,0.47750376177089354,NA,NA,NA
Homarine,KM1906,MU20,C,4/25/19,18:24:00,37.48,-158,0.5008116513187586,NA,NA,NA
Homarine,KM1906,MU21,A,4/26/19,06:00:00,35.55,-158,0.24040841681193623,NA,NA,NA
Homarine,KM1906,MU21,B,4/26/19,06:00:00,35.55,-158,0.3254236755505662,NA,NA,NA
