mass_feature,sample_fraction,experiment_id,timepoint,med_pvalue_h,med_fc_h,med_qvalue_h,core_metabolite
Homarine,Particulate,G51,96,0.2718986300117376,0.7176745752736888,0.5697150832159729,non-core
Homarine,Particulate,G52,0,0.581873245594122,0.9594440713849393,0.6849116700906751,non-core
Homarine,Particulate,G52,6,0.2707692748067983,0.7967612165755643,0.5697150832159729,non-core
Homarine,Particulate,G52,12,0.2664394555810342,0.7675686114691804,0.5697150832159729,non-core
Homarine,Particulate,G52,24,0.3874250545976554,1.0506459342366816,0.5937078921732292,non-core
Homarine,Particulate,G52,48,0.41512069401071755,1.6354914020887232,0.5937078921732292,non-core
Homarine,Particulate,G52,96,0.05708904867228805,0.3185713808439901,0.4089353797583421,non-core
L-Arginine,Particulate,G51,0,0.195310778492361,0.8703993224073144,0.5489216937495365,core
L-Arginine,Particulate,G51,6,0.4540892665333358,1.0774023339738696,0.6227509941028605,core
L-Arginine,Particulate,G51,12,0.5399276116893933,1.2200241273660912,0.6627048075234486,core
L-Arginine,Particulate,G51,24,0.4603549331750561,1.1173233026849847,0.6261480511322014,core
L-Arginine,Particulate,G51,48,0.33488906370117355,1.4587280678813124,0.584892796819012,core
L-Arginine,Particulate,G51,96,0.04278124785725396,3.046757752064117,0.4089353797583421,core
L-Arginine,Particulate,G52,0,0.6517029190744291,1.1060387954518398,0.7132644326026325,core
L-Arginine,Particulate,G52,6,0.34702811614154583,1.013606969870707,0.5867487769976939,core
L-Arginine,Particulate,G52,12,0.39466924715214613,1.1471693780855206,0.5937078921732292,core
L-Arginine,Particulate,G52,24,0.3507705254903296,1.049861836187763,0.5867487769976939,core
L-Arginine,Particulate,G52,48,0.37898579464929055,1.490046527655942,0.5937078921732292,core
L-Arginine,Particulate,G52,96,0.08194859524032302,1.9674289830042158,0.4589761056860371,core
L-Asparagine,Particulate,G51,0,0.240016440349865,1.0392579749957787,0.5697150832159729,non-core
L-Asparagine,Particulate,G51,6,0.39224762520185,1.0057867603873036,0.5937078921732292,non-core
L-Asparagine,Particulate,G51,12,0.28751709122438174,1.4908530588463202,0.5800809618359161,non-core
L-Asparagine,Particulate,G51,24,0.6198721557212784,0.8210294546437936,0.7012695095028604,non-core
L-Asparagine,Particulate,G51,48,0.546843725242652,1.2150036515507208,0.6627048075234486,non-core
L-Asparagine,Particulate,G51,96,0.05027727934230053,1.7494275666243675,0.4089353797583421,non-core
L-Asparagine,Particulate,G52,0,0.6397689578273846,0.9906386745792958,0.710876275036071,non-core
L-Asparagine,Particulate,G52,6,0.249208376562191,0.7512915171782921,0.5697150832159729,non-core
