mass_feature,core_metab,sample_fraction,experiment_id,timepoint,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h
Adenosine monophosphate,Citrulline,Particulate,G51,0,2.971344659180701,0.05980661647610726,0.1
Adenosine monophosphate,Citrulline,Particulate,G51,6,1.1093800111290082,0.8888178890490317,1
Adenosine monophosphate,Citrulline,Particulate,G51,12,0.8380375460762317,0.8324576763475507,1
Adenosine monophosphate,Citrulline,Particulate,G51,24,0.9045883357499663,0.8968853090413269,1
Adenosine monophosphate,Citrulline,Particulate,G51,48,1.9304071879011167,0.3930011791431666,0.4
Adenosine monophosphate,Citrulline,Particulate,G51,96,1.2033546770321064,0.8803623798489187,1
Adenosine monophosphate,Citrulline,Particulate,G52,0,1.0125075878880199,0.976674782549154,0.7
Adenosine monophosphate,Citrulline,Particulate,G52,6,0.5935927901251157,0.37863637923554505,0.7
Adenosine monophosphate,Citrulline,Particulate,G52,12,0.7538108017498472,0.5691346863474108,0.7
Adenosine monophosphate,Citrulline,Particulate,G52,24,1.087653554895543,0.8547531336975256,1
Adenosine monophosphate,Citrulline,Particulate,G52,48,0.6206831050589707,0.4429578494867123,0.4
Adenosine monophosphate,Citrulline,Particulate,G52,96,0.8801066105228391,0.7742481906866864,0.7
Adenosine monophosphate,Cytosine,Particulate,G51,0,1.3097774065453902,0.5541954116492068,1
Adenosine monophosphate,Cytosine,Particulate,G51,6,2.2209013106331432,0.33092959245802595,0.4
Adenosine monophosphate,Cytosine,Particulate,G51,12,1.067407299002267,0.9079701746996911,1
Adenosine monophosphate,Cytosine,Particulate,G51,24,0.6084442310176196,0.46752712942658836,0.4
Adenosine monophosphate,Cytosine,Particulate,G51,48,1.7195762512754782,0.21260828179483734,0.2
Adenosine monophosphate,Cytosine,Particulate,G51,96,1.048846485939121,0.9670739931987806,0.7
Adenosine monophosphate,Cytosine,Particulate,G52,0,0.5410090072272642,0.05707754954898447,0.1
Adenosine monophosphate,Cytosine,Particulate,G52,6,1.0670709451400842,0.7952074746742255,1
Adenosine monophosphate,Cytosine,Particulate,G52,12,1.2141382889427828,0.3750422800675467,0.4
Adenosine monophosphate,Cytosine,Particulate,G52,24,0.8119540112613423,0.3899132027292463,0.7
Adenosine monophosphate,Cytosine,Particulate,G52,48,0.6972768008393716,0.34968999438438486,0.4
Adenosine monophosphate,Cytosine,Particulate,G52,96,2.240895422615717,0.15005831266146336,0.1
Adenosine monophosphate,Deoxyadenosine,Particulate,G51,0,1.0897558450940632,0.8636852537138752,1
Adenosine monophosphate,Deoxyadenosine,Particulate,G51,6,0.8968705180917016,0.873239379399909,1
Adenosine monophosphate,Deoxyadenosine,Particulate,G51,12,0.5437634045544475,0.3941680765355091,0.7
Adenosine monophosphate,Deoxyadenosine,Particulate,G51,24,0.43445551041404157,0.31235973173033493,0.4
Adenosine monophosphate,Deoxyadenosine,Particulate,G51,48,1.49940960500399,0.3868611697166281,0.4
Adenosine monophosphate,Deoxyadenosine,Particulate,G51,96,0.463147262886678,0.43437480446378907,0.4
Adenosine monophosphate,Deoxyadenosine,Particulate,G52,0,0.8585289031125752,0.6551159950730501,0.7
Adenosine monophosphate,Deoxyadenosine,Particulate,G52,6,1.9006728622056268,0.30504439227628405,0.2
Adenosine monophosphate,Deoxyadenosine,Particulate,G52,12,1.1991542702641709,0.5391147498124129,0.7
Adenosine monophosphate,Deoxyadenosine,Particulate,G52,24,0.8487465474177158,0.6664359102491269,1
Adenosine monophosphate,Deoxyadenosine,Particulate,G52,48,1.0326362539550222,0.964181985554708,1
Adenosine monophosphate,Deoxyadenosine,Particulate,G52,96,3.1595205682704357,0.17640144993622336,0.1
Adenosine monophosphate,L-Arginine,Particulate,G51,0,2.228253844331184,0.06350675558395272,0.1
Adenosine monophosphate,L-Arginine,Particulate,G51,6,1.1518826889473366,0.742390887085465,1
Adenosine monophosphate,L-Arginine,Particulate,G51,12,0.7367750553981898,0.5564043898064643,0.7
Adenosine monophosphate,L-Arginine,Particulate,G51,24,0.6981325613701519,0.5268411215539329,0.4
Adenosine monophosphate,L-Arginine,Particulate,G51,48,1.2519109477970116,0.5968353470994238,1
