mass_feature,replicate_name,adjusted_area,sample_fraction,z,treatment,sample_set,retention_time,mz,timepoint,experiment_id
Deoxyadenosine,240926_Smp_RC104_HomFate_Con_A_posDDA,56932832,Particulate,1,Control,homarine_fate_1,3.821428571428571,252.109665,NA,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_Con_B_posDDA,17484288,Particulate,1,Control,homarine_fate_1,3.821428571428571,252.109665,NA,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_Con_C_posDDA,16346839,Particulate,1,Control,homarine_fate_1,3.821428571428571,252.109665,NA,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T0_A_posDDA,9762271,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,0,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T0_B_posDDA,26827448,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,0,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T0_C_posDDA,5293435,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,0,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T6_A_posDDA,9670068,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,6,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T6_B_posDDA,1250989,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,6,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T6_C_posDDA,1258495,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,6,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T12_A_posDDA,9840207,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,12,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T12_B_posDDA,7299677,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,12,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T12_C_posDDA,21880432,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,12,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T24_A_posDDA,60727400,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,24,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T24_B_posDDA,15190359,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,24,NA
Deoxyadenosine,240926_Smp_RC104_HomFate_T24_C_posDDA,269789632,Particulate,1,Homarine,homarine_fate_1,3.821428571428571,252.109665,24,NA
