mass_feature,replicate_name,adjusted_area,sample_fraction,z,sample_set,treatment,RT,mz,dat_type,MS2,add_annotation,pseudo_ID,adduct_group_ID,nm_theroetical,scaled_area,high_homarine_compound,low_homarine_compound,high_homarine_NH4_compound,low_homarine_NH4_compound,high_both_compound,low_both_compounds,row_id
Adenosine monophosphate,211202_Smp_OBi1_6,7743475,Particulate,-1,OBi1_set2,Homarine,10.98764705882353,346.055262,targeted,NA,NA,NA,NA,NA,14427550.627917364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
Adenosine monophosphate,211202_Smp_OBi1_7,1392695,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,10.98764705882353,346.055262,targeted,NA,NA,NA,NA,NA,1597660.8471641378,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
Adenosine monophosphate,211202_Smp_OBi1_8,9480275,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,10.98764705882353,346.055262,targeted,NA,NA,NA,NA,NA,10875506.975934427,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
Adenosine monophosphate,211202_Smp_OBi1_9,15553344,Particulate,-1,OBi1_set2,Glucose + NH4 + Homarine,10.98764705882353,346.055262,targeted,NA,NA,NA,NA,NA,17842362.291295122,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10
Adenosine triphosphate,211202_Smp_OBi1_1,100905.6333876767,Particulate,-1,OBi1_set2,Glucose + NH4,13.638571428571428,505.987929,targeted,NA,NA,NA,NA,NA,100905.6333876767,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
Adenosine triphosphate,211202_Smp_OBi1_2,204788.90725193013,Particulate,-1,OBi1_set2,Glucose + NH4,13.638571428571428,505.987929,targeted,NA,NA,NA,NA,NA,204788.90725193013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
Adenosine triphosphate,211202_Smp_OBi1_3,NA,Particulate,-1,OBi1_set2,Glucose + NH4,13.638571428571428,505.987929,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
Adenosine triphosphate,211202_Smp_OBi1_4,NA,Particulate,-1,OBi1_set2,Homarine,13.638571428571428,505.987929,targeted,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
Adenosine triphosphate,211202_Smp_OBi1_5,146865.10391557802,Particulate,-1,OBi1_set2,Homarine,13.638571428571428,505.987929,targeted,NA,NA,NA,NA,NA,273637.31686566386,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
Adenosine triphosphate,211202_Smp_OBi1_6,268197.5092137311,Particulate,-1,OBi1_set2,Homarine,13.638571428571428,505.987929,targeted,NA,NA,NA,NA,NA,499702.41299448104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
