mass_feature,sample_fraction,med_pvalue_h,med_pvalue_hNH4,med_fc_h,med_fc_hNH4,med_pvalue_cmb,med_qvalue_h,med_qvalue_hNH4,med_qvalue_cmb,z,sample_set,dat_type,RT,mz,MS2,add_annotation,row_id,plot_label
HILICNeg_10,Dissolved,0.26839451605008224,0.6432954228371506,0.16162273916204037,0.5981536959687961,0.17265696368961006,0.39713660098467457,0.6846769997448036,0.20273269284844533,-1,OBi1_set2,nontargeted,2.198,121.07549,NA,[M-H]-,656,"
RT = 2.2
 mz = 121.075-"
HILICNeg_10,Particulate,0.056313723832769946,0.011308863578148531,6.40692865095834,4.574976932896441,6.368442204023269e-4,0.1774343192370849,0.154329781504304,0.006100297269117027,-1,OBi1_set2,nontargeted,12.227,101.02333,NA,[M-H]-,359,"
RT = 12.2
 mz = 101.023-"
HILICNeg_122,Particulate,0.03753459191567404,0.596743112799022,0.28775564806535203,0.9996801891943892,0.022398509217400334,0.1508129902595017,0.6542605212615784,0.05435371570089148,-1,OBi1_set2,nontargeted,10.941,179.05553,NA,[M-H]-,404,"
RT = 10.9
 mz = 179.056-"
HILICNeg_123,Particulate,0.012607646756596695,0.003409660922548975,928.8757839769064,417.8877519953794,4.2987800471269076e-5,0.10327030601972022,0.154329781504304,0.0025147578965391145,-1,OBi1_set2,nontargeted,5.525,180.0294,NA,[M-H]-,405,"
RT = 5.5
 mz = 180.029-"
HILICNeg_18,Particulate,0.4456309413614996,0.6553059414777095,1.1777854917439325,0.9868725337187626,0.2920246035804955,0.5133217172645121,0.6893970020170123,0.31080981199795427,-1,OBi1_set2,nontargeted,11.655,110.98424,NA,[M-H]-,362,"
RT = 11.7
 mz = 110.984-"
HILICNeg_223,Particulate,0.007229380514910301,0.37954819927956773,0.30807806961424555,1.0641415266596579,0.0027438983563409986,0.10327030601972022,0.583886091636921,0.013497013536596264,-1,OBi1_set2,nontargeted,8.612,256.05939,NA,[M-H]-,455,"
RT = 8.6
 mz = 256.059-"
HILICNeg_261,Particulate,0.5953943724755616,0.23950469506411742,0.9805377489952384,0.6110459570152226,0.14259974762265093,0.6257135388546567,0.5716489131641864,0.1814905878833739,-1,OBi1_set2,nontargeted,13.128,282.0202,NA,[M-H]-,476,"
RT = 13.1
 mz = 282.02-"
HILICNeg_279,Particulate,0.056284663559569695,0.060606692848144836,0.5016365691990887,1.3777085993744915,0.0034112273164160108,0.1774343192370849,0.42424684993701384,0.01473540264022341,-1,OBi1_set2,nontargeted,10.461,298.98987,NA,[M-H]-,482,"
RT = 10.5
 mz = 298.99-"
HILICNeg_33,Dissolved,0.5253513997569382,0.9170022502070458,2.0373917385508165,0.9049901545623118,0.48174841572653365,0.5725386512321123,0.9170022502070458,0.4871011759012729,-1,OBi1_set2,nontargeted,8.606,176.99347,50.30442:7496 53.44098:5828 57.38984:7017 63.96123:17009 79.0784:7059 79.95628:60948 88.46481:7991 95.01279:46324 96.05966:6434 98.54166:6410 109.24918:6885 109.36538:6943 113.48401:7872 138.26309:8404 145.01207:30109 153.57697:8096 155.98799:118854 158.97513:22647 170.00368:313199 171.00751:7297 171.98334:13269 176.89464:8487 176.99332:391108 177.09187:8101,[M-H]-,660,"
RT = 8.6
 mz = 176.993-"
HILICNeg_344,Particulate,0.13752106622327695,0.2268262460066069,0.6498901088878459,1.3615162959433154,0.031193387198251894,0.2634614110803832,0.5716489131641864,0.06430134444616138,-1,OBi1_set2,nontargeted,11.339,361.10187,NA,[M-H]-,521,"
RT = 11.3
 mz = 361.102-"
