mass_feature,core_metab,sample_fraction,enrich_hNH4_fc,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h,ttest_p_hNH4,p_value_mannwhitney_hNH4
5-Oxoproline,L-Glutamic acid,Particulate,0.2722068347277964,0.315910966146326,0.013073082612728867,0.1,0.0169794966742645,0.1
5-Oxoproline,L-Homoserine,Particulate,0.26060100706731043,0.20957959606765741,0.03110475368765677,0.1,0.03607902481136682,0.1
5-Oxoproline,L-Lysine,Particulate,1.1980992449839154,0.684840038329662,0.023805266819501535,0.1,0.07259301364399401,0.2
5-Oxoproline,L-Proline,Particulate,1.0068588425595635,1.2457533836450096,0.13935987008109635,0.2,0.9231449413041432,1
5-Oxoproline,L-Serine,Particulate,1.3230638661065468,1.0191867678623039,0.8055979637670229,0.7,0.06388079380618869,0.1
5-Oxoproline,L-Tyrosine,Particulate,0.9245880949445947,0.40702039584482114,0.033820813681864,0.1,0.5878364438080946,1
Adenine,Adenosine,Particulate,1.1129032592405204,2.178856098240621,0.4113105664948157,0.7,0.7509989605490512,0.7
Adenine,Adenosine monophosphate,Particulate,0.7489449280463669,27.845253052413465,0.4338858181847803,0.7,0.7430829688281481,0.7
Adenine,Citrulline,Particulate,1.2034766157015266,19.96418946433064,0.14271512093837566,0.1,0.6173288445671286,0.7
Adenine,Cytosine,Particulate,0.8808708180435784,1.2693259843696152,0.5810300939514459,0.7,0.7157944094433358,1
Adenine,Deoxyadenosine,Particulate,0.9122094819188558,1.7751925938793551,0.43756853291563946,0.7,0.7390020765832884,0.7
Adenine,Guanosine,Particulate,0.9848378113118053,2.205903668581156,0.4594188099990896,0.7,0.950922889715033,1
Adenine,L-Arginine,Particulate,0.9890896812110259,3.1721047259243873,0.22984402944222365,0.7,0.9719812183241097,0.7
Adenine,L-Glutamic acid,Particulate,0.23230423209485676,0.7421932998317278,0.4815169444752962,0.7,0.003359799618371038,0.1
Adenine,L-Homoserine,Particulate,0.22366069270148953,0.5196896795759067,0.13979577096445822,0.1,0.0013076544571088819,0.1
Adenine,L-Lysine,Particulate,0.9980300044756473,1.7156768362102182,0.43184159167968283,0.7,0.9948582161381185,0.7
