mass_feature,sample_fraction,med_pvalue_h,med_pvalue_hNH4,med_fc_h,med_fc_hNH4,med_pvalue_cmb,med_qvalue_h,med_qvalue_hNH4,med_qvalue_cmb,core_metabolite
HILICNeg_58,Particulate,0.31470831363542395,0.49875844450601126,1.0965314957050794,0.884102860332405,0.15696342898191398,0.38803840613299845,0.628367339369736,0.18542221890947594,non-core
HILICNeg_59,Dissolved,0.10274196193387275,0.09600732569408782,7690.789827391807,59.33902197821164,0.009863981001834894,0.1877424581891024,0.3597569649663548,0.024579524976425002,non-core
HILICNeg_6,Dissolved,0.404514528467956,0.23976547562031963,18.281984719505996,2.4332532664570063,0.0969886183134488,0.46199051362797133,0.5382041000558174,0.126385168606391,non-core
HILICNeg_60,Dissolved,0.15318075884529658,0.4771372104213541,5.856299299311004,1.3650108148477846,0.07308823996567097,0.23736145596696537,0.6140376292913604,0.10101293864046561,non-core
HILICNeg_65,Dissolved,0.27996058895048587,0.6120426351563251,2.9975475257513127,0.46102974628736515,0.1713478166011721,0.3598683683877703,0.6919694909101922,0.19797407695053157,non-core
HILICNeg_67,Dissolved,0.6871094198935526,0.7180131933346288,0.8079395743767013,0.9940371357781006,0.493353628748074,0.6914651055981076,0.7512985731580883,0.4964960085490171,non-core
HILICNeg_68,Dissolved,0.7263902143371772,0.47488960384700063,0.8541061053851994,1.24205754629227,0.34495516112492,0.7263902143371772,0.6139432157079329,0.3521997767866711,non-core
HILICNeg_69,Dissolved,0.2323089639177193,0.12157777399647511,9321.135818108058,242.0113563495249,0.028243606712543768,0.31655835211963895,0.41089386719664317,0.05042361424386345,non-core
HILICNeg_7,Particulate,0.015238984754203575,0.004057777832299278,292.3708596866352,252.64178654530684,6.183641452235394e-5,0.09445051726811608,0.1119903253001749,0.0016283589157553202,non-core
HILICNeg_70,Dissolved,0.12931318233010236,0.13858697969854217,2159.310461838474,7.03747948795178,0.017921123374335778,0.2183879542011037,0.4324952680331369,0.03750380785622587,non-core
HILICNeg_70,Particulate,0.03549521842023674,0.06338339236791432,0.034193152238125024,0.3650341169448801,0.0022498073563146856,0.10994860339926991,0.2688476776947775,0.009064255491554601,non-core
HILICNeg_71,Dissolved,0.41556011177962704,0.24568365255662983,20.68666255833183,3.0659410944327448,0.10209632611886015,0.4677972253996615,0.5382041000558174,0.13141573038776105,non-core
HILICNeg_72,Dissolved,0.3539523029563234,0.4905728311041423,2.083221926649748,1.109047477977618,0.17363938333711465,0.42518383991682696,0.6239787723893326,0.19952743685282995,non-core
HILICNeg_73,Dissolved,0.179156997511163,0.021153731673474153,2301.5674066485835,426.8630592268284,0.0037898390527764192,0.26353645887724136,0.13369158417635665,0.012346279800797407,non-core
HILICNeg_73,Particulate,0.03956258786905978,0.07600122673092163,0.00786965241766439,0.337598707936645,0.0030068052106984222,0.11523964815070165,0.30400490692368654,0.010675847714389904,non-core
HILICNeg_74,Dissolved,0.3677854025899536,0.3446826051875777,21.157644558472196,2.458569231831129,0.1267692307146673,0.43409615361453635,0.602765879086233,0.15678699376060615,non-core
HILICNeg_74,Particulate,0.006355817823223088,0.00463965819692199,0.18583192400640777,0.39717039738190557,2.948882226165988e-5,0.09445051726811608,0.1119903253001749,0.0015117290447392753,non-core
HILICNeg_75,Dissolved,0.14019982640669393,0.18707359826901082,Inf,Inf,0.026227686002590914,0.22769025516176636,0.49238316254386133,0.04804607986561582,non-core
HILICNeg_75,Particulate,0.020854365388302574,0.015156578412756503,66.1182430160921,45.32195168028553,3.160808242560832e-4,0.09599687235402066,0.1218780426686781,0.003170969804114904,non-core
HILICNeg_76,Dissolved,0.2715066357432616,0.8199619137839432,11.586682875402412,1.219420389176563,0.22262510064908475,0.35128326778290336,0.8318072704838718,0.24216706301242957,non-core
HILICNeg_77,Dissolved,0.13419936672530838,NA,Inf,NA,NA,0.222497644570681,NA,NA,non-core
HILICNeg_77,Particulate,0.02034218088693284,0.5194522442507826,103.22118433734005,1.0312596228231836,0.01056679151467264,0.09599687235402066,0.6349977144419625,0.025784603232714705,non-core
HILICNeg_8,Particulate,0.01775232836500824,0.017175251010903423,434.2787708577813,310.96055627515915,3.049006956969973e-4,0.09597943230093102,0.126488581708794,0.003170969804114904,non-core
HILICNeg_83,Dissolved,0.4437255943637448,0.2758891674969125,8.400606652838876,3.5808076313551873,0.12241908482608625,0.484133595225048,0.5661102397988594,0.15260130495086097,non-core
HILICNeg_83,Particulate,0.047180755330477914,0.31099449086571207,0.21672600139603979,1.1825752712565012,0.01467295498266171,0.1268550540866823,0.5938021698704835,0.03208756937384845,non-core
HILICNeg_84,Dissolved,0.19826426361931493,0.42264973081037427,Inf,Inf,0.08379633764802054,0.28063456107592405,0.6116464582683339,0.11244009637696173,non-core
HILICNeg_86,Particulate,0.004688165160273799,0.4200027541196809,0.07613748219483335,0.795504564675618,0.0019690422790829307,0.09445051726811608,0.6116464582683339,0.008351910875036323,non-core
HILICNeg_87,Particulate,0.04132597827311482,0.015074667147827955,4.54504677495558,4.052453264814835,6.229753670255758e-4,0.11874206426890457,0.1218780426686781,0.004264092535718467,non-core
HILICNeg_88,Particulate,0.04039206028774085,0.3580741322437974,0.2348695707394196,1.138375548634214,0.014463351937071956,0.11711853097130338,0.6061971428019474,0.03184961123424905,non-core
HILICNeg_89,Dissolved,0.4728306463839326,0.2771999165493451,8.160145100119179,4.620214446989144,0.13106861571959902,0.5038453044681231,0.5669590526187254,0.16093898725921657,non-core
HILICNeg_9,Dissolved,0.11472080577138913,0.31865607605850477,3.592808144053386,1.551754033180797,0.036556481809380724,0.20013107600228597,0.5983503280230728,0.05985413601950419,non-core
HILICNeg_90,Dissolved,0.0194090304742183,0.3544132607940171,0.21199705400551894,1.499394570072322,0.006878817779218156,0.09599687235402066,0.6061971428019474,0.01881996898902976,non-core
HILICNeg_90,Particulate,0.13558597496435784,0.12826499730222984,0.4506387467961641,1.4029626831597761,0.01739093471302356,0.22304946658644362,0.42001311864553603,0.037117426277902196,non-core
HILICNeg_92,Particulate,0.5695916873841687,0.4302459341647047,1.1684354846161802,0.6189134215907047,0.2450645076310521,0.5897332033578203,0.6116464582683339,0.26206559868498297,non-core
HILICNeg_93,Particulate,0.09505165436102853,0.010404713647146725,0.7603393679108883,0.4977953607433085,9.88985245314067e-4,0.1791032656357659,0.11919104412964113,0.005295001691986118,non-core
HILICPos_0,Dissolved,0.016039415421145155,0.02095855299385088,56.7506323166825,3.5088655788335013,3.3616293809445974e-4,0.09518718497595488,0.13369158417635665,0.003170969804114904,non-core
HILICPos_0,Particulate,0.10553588565579454,0.2427621814989149,1.3369219772152268,1.0602233238439795,0.025620121828220724,0.1893087214447162,0.5382041000558174,0.04720675508873323,non-core
HILICPos_100,Dissolved,0.12313883800186987,0.2915325174593517,10.951728576795068,1.4108667670841002,0.03589897543970441,0.21019667239566497,0.5801262061123964,0.059237996025830776,non-core
HILICPos_105,Particulate,0.3355106766956347,0.2984969687396353,0.5485505234919748,0.4896257709629127,0.10014891997343077,0.4089237614236623,0.5839756626559923,0.12970106029345954,non-core
HILICPos_106,Dissolved,0.14212369901695263,0.36757161119844034,14.647413943755115,1.8523430534625311,0.05224063703714347,0.2296400734752288,0.6075997707499129,0.07732103655146294,non-core
HILICPos_106,Particulate,0.006721832824499819,0.011312608420812994,0.2622252884237137,0.46459266350062645,7.604146261373385e-5,0.09445051726811608,0.11919104412964113,0.0017479148536070548,non-core
HILICPos_107,Dissolved,0.510972075479941,0.6239286930366782,4.191322445413584,0.6763128395657789,0.31881013923243845,0.5380883381919777,0.6965196291615117,0.3295609778758057,non-core
HILICPos_107,Particulate,0.013277494315372666,0.050851694093314095,0.16015805022120919,0.5513723871238465,6.751830792510477e-4,0.09445051726811608,0.24347174747707961,0.004310259657441032,non-core
HILICPos_108,Dissolved,0.1984329416111652,0.0067328631485820845,568.8049391813809,74.92348150380275,0.0013360218400385547,0.28063456107592405,0.1119903253001749,0.006516368158191825,non-core
HILICPos_109,Dissolved,0.1432415578386591,0.18797183455512667,11431.15781245768,242.47659921999679,0.026925378411467037,0.22982936537740878,0.49238316254386133,0.04903584883848906,non-core
HILICPos_109,Particulate,0.13628832968447785,0.47229014695625754,2.0521982622900183,0.7702484192697674,0.06436763525510492,0.22362555387504762,0.6139432157079329,0.09224568136332496,non-core
HILICPos_110,Particulate,0.060701322289051535,0.17918221901327322,1.4215427164042909,0.800279291555452,0.010876597624792116,0.1395388427579773,0.48394513853157556,0.02613691900710501,non-core
HILICPos_111,Dissolved,0.02204790196397198,0.3800059363125414,Inf,Inf,0.008378333629546294,0.09776877687103308,0.6075997707499129,0.02171059440997382,non-core
HILICPos_111,Particulate,0.4068528290206166,0.621116650316877,1.8153375619172838,0.9112112050732797,0.2527030663332305,0.4629956029177268,0.6965196291615117,0.26977759784223254,non-core
HILICPos_112,Dissolved,0.023660358095477542,0.7423057516021302,27975.709702601856,1.5673222418144244,0.017563219899239004,0.09776877687103308,0.7653135970840885,0.037117426277902196,non-core
HILICPos_113,Dissolved,0.11063650517534093,0.01694197167385129,41.60822027931961,3.660629428463338,0.0018744005367745278,0.19624072845346785,0.126488581708794,0.008108601808817551,non-core
HILICPos_114,Dissolved,0.22847627850122149,0.06009375197574399,Inf,Inf,0.013729996812593414,0.3120052405339261,0.2629879365627798,0.030880277528679848,non-core
HILICPos_115,Particulate,0.05616887418487336,0.5137935398261545,0.3566121452499247,1.1126858991165545,0.028859204695495994,0.13347983940319944,0.6292975138956001,0.05094697588702086,non-core
HILICPos_116,Particulate,0.01325891675420816,0.3795543217767704,0.3462910106560976,1.0618143349600893,0.0050324791561381366,0.09445051726811608,0.6075997707499129,0.015290994359035106,non-core
HILICPos_118,Dissolved,0.1389663440631959,0.47234741889318355,23.059598221333914,5.667354675938457,0.06564039393127268,0.22626571405161386,0.6139432157079329,0.09314413716374004,non-core
HILICPos_119,Dissolved,0.02239107843266601,0.6418496351240075,0.28106218962393203,0.8669422169449663,0.014371705522039712,0.09776877687103308,0.703295166630249,0.03184961123424905,non-core
HILICPos_12,Dissolved,0.1604412495554024,0.40552861979970656,8.988773811158213,1.8247804339140457,0.06506351849114261,0.24549444209079643,0.6116464582683339,0.09284183008341605,non-core
HILICPos_12,Particulate,0.049652714060535286,0.330582504747278,2.5316995827437316,0.8733068377719413,0.016414318581632142,0.1268550540866823,0.6014064082849468,0.035648966816465684,non-core
HILICPos_120,Dissolved,0.22383167523137934,0.7109180442279776,3.2938370529332155,0.9960247160012128,0.15912597679176405,0.3063213658877713,0.7463458537409997,0.18727675480892902,non-core
HILICPos_120,Particulate,0.4402525924668854,0.2895032962245753,1.1685357185444065,1.6231880176267515,0.12745457669057797,0.4831285962704717,0.5790065924491506,0.15723991826416328,non-core
HILICPos_121,Dissolved,0.4692070028655143,0.5810028633047333,1.0580545747002263,0.958781898123466,0.272610612147496,0.5024392020566638,0.6749886206040284,0.28956286870120584,non-core
HILICPos_121,Particulate,0.0478877482969068,0.5582709904679706,0.35116717173947676,1.06997929549079,0.02673434067299503,0.1268550540866823,0.6622450264190581,0.048832668512522714,non-core
HILICPos_123,Particulate,0.11058859005146571,0.7368828922111575,0.5852449744865424,0.9004035760031572,0.0814908400826781,0.19624072845346785,0.763824715739293,0.11028310692131169,non-core
HILICPos_125,Particulate,0.03586556499102639,0.5867820489854968,0.3945082073022529,0.9108315392787885,0.021045269713456966,0.11055647460826096,0.6758798307271958,0.041825819053159755,non-core
HILICPos_127,Particulate,0.3781625061683347,0.5368469933299262,0.7623376298646887,0.847153187953346,0.20301540442658017,0.4414213077516407,0.6454984106068009,0.2258903795732371,non-core
HILICPos_13,Particulate,0.011235971147269895,0.0025426626898890792,242.51895302436446,86.29590131437118,2.8569284620833355e-5,0.09445051726811608,0.1119903253001749,0.0015117290447392753,non-core
HILICPos_130,Particulate,0.2936874952215053,0.34641305707160464,2.2130600810382406,0.6485311400897653,0.10173718304338392,0.37188002501020784,0.602765879086233,0.13141573038776105,non-core
HILICPos_131,Particulate,0.1862464824205614,0.15240694550790557,1.346677662680019,0.7999290686500269,0.028385257497309593,0.2693998094238189,0.44241041454855695,0.05053375419239342,non-core
HILICPos_132,Particulate,0.017168257771720728,0.019478913175198103,9.283725093093352,3.5359267801587384,3.344190025047681e-4,0.09597943230093102,0.13096460773111918,0.003170969804114904,non-core
HILICPos_133,Particulate,0.06715050163460862,0.4709719739509597,0.3683227344194656,0.859991193573034,0.03162600430664877,0.14553095064155794,0.6139432157079329,0.05402063438324871,non-core
HILICPos_134,Particulate,0.009966348746995608,0.33149954119166425,0.4236088005209707,0.8720475307517337,0.0033038400369851616,0.09445051726811608,0.6014064082849468,0.011406736754589072,non-core
HILICPos_135,Particulate,0.149543459233768,0.6275643736013193,0.48067214894776034,0.7989414794896025,0.09384814732021404,0.2350497440926799,0.6972092989449556,0.12330983182198603,non-core
HILICPos_14,Dissolved,0.014129714519021924,0.4468306278776092,18.109914178623246,1.3680869346128444,0.006313589210265937,0.09445051726811608,0.6116464582683339,0.0176557008003897,non-core
HILICPos_142,Particulate,0.10061479180071516,0.6934627536930534,0.4134717790186601,0.8477765193499585,0.06977261058437718,0.18626936674476421,0.7403183451588002,0.0977744786903024,non-core
HILICPos_143,Particulate,0.04898286384129881,0.5829587851772684,0.5412954959439878,0.9166139138331098,0.0285549907994271,0.1268550540866823,0.6758798307271958,0.0506931297338144,non-core
HILICPos_144,Particulate,0.06350682766926488,0.4584338339579984,0.36656582362165757,0.8656096192091443,0.029113678490930998,0.1416576398388694,0.6139432157079329,0.0512530495996334,non-core
HILICPos_146,Particulate,0.09098039351225434,0.20421405534761203,0.5708936654990261,0.7938201122388403,0.01857947511625903,0.17671213377800027,0.5074008175661061,0.03875322862533237,non-core
HILICPos_148,Particulate,0.012077439503924956,0.5076849066167616,17.14304597372913,1.0455216459144419,0.006131533746719728,0.09445051726811608,0.6291310999643006,0.01747483361856724,non-core
HILICPos_149,Particulate,0.01595205149717522,0.020757838900113623,0.4799413756865815,0.585218132208936,3.3113011510467954e-4,0.09518718497595488,0.13369158417635665,0.003170969804114904,non-core
HILICPos_15,Dissolved,0.01664973152496582,0.03086996498694568,9.764530691859179,3.6425427287878955,5.139766292177405e-4,0.09597943230093102,0.16818808510129027,0.0039136533694652045,non-core
