mass_feature,sample_fraction,experiment_id,timepoint,med_pvalue_h,med_fc_h,med_qvalue_h,core_metabolite
L-Glutamic acid,Particulate,NA,0,0.1732633091581298,0.988695790152823,0.4275431362295414,core
L-Glutamic acid,Particulate,NA,6,0.2360573689066188,0.7150799088706565,0.4486288605432832,core
L-Glutamic acid,Particulate,NA,12,0.29446245288460865,1.0044865216254946,0.4564168019711434,core
L-Glutamic acid,Particulate,NA,24,0.4028217328794611,1.1124787677817705,0.5313818603941827,core
L-Glutamic acid,Particulate,NA,48,0.129956397071002,0.7117060123312672,0.4096930483933284,core
L-Glutamic acid,Particulate,NA,96,0.250129200211739,1.1439587854701492,0.4486288605432832,core
L-Lysine,Particulate,NA,0,0.19700538053292216,1.0095568348000599,0.4342745373630705,core
L-Lysine,Particulate,NA,6,0.08473138126236483,1.539072512698556,0.3152007382959972,core
L-Lysine,Particulate,NA,12,0.2799578161986612,1.0995147068232631,0.45492134683672153,core
L-Lysine,Particulate,NA,24,0.38011843954464536,1.3225313439610544,0.5250477111110318,core
L-Lysine,Particulate,NA,48,0.38608362249881495,1.175544715077018,0.5250477111110318,core
L-Lysine,Particulate,NA,96,0.21204321515039665,0.8778891782353916,0.4342745373630705,core
L-Phenylalanine,Particulate,NA,0,0.37366953555218374,1.1435714416937053,0.5250477111110318,non-core
L-Phenylalanine,Particulate,NA,6,0.07431525605751582,2.037400185724187,0.2952095713639601,non-core
L-Phenylalanine,Particulate,NA,12,0.1865522959364566,1.347426344887475,0.4275431362295414,non-core
L-Phenylalanine,Particulate,NA,24,0.36323357652421284,1.3997962011681253,0.523732133593051,non-core
L-Phenylalanine,Particulate,NA,48,0.12942221355543182,1.7311412762861849,0.4096930483933284,non-core
L-Phenylalanine,Particulate,NA,96,0.34317983078791814,1.334566552783139,0.5013192302353237,non-core
L-Proline,Particulate,NA,0,0.178561768609099,1.2703369344710984,0.4275431362295414,core
L-Proline,Particulate,NA,6,0.10308485575641749,1.4896793656624288,0.3523869352721393,core
L-Proline,Particulate,NA,12,0.29105182942779495,1.0293158274473746,0.45492134683672153,core
L-Proline,Particulate,NA,24,0.5031221950945534,0.9382561335980089,0.5998764633819674,core
L-Proline,Particulate,NA,48,0.16408963525078135,0.701358364256332,0.4275431362295414,core
L-Proline,Particulate,NA,96,0.2606506318074516,1.2939286741008642,0.4486288605432832,core
L-Serine,Particulate,NA,0,0.22607043979937497,1.9654262666533266,0.44733087024131646,core
L-Serine,Particulate,NA,6,0.13973158466722863,6.480776845597417,0.42023433841013025,core
L-Serine,Particulate,NA,12,0.2893587331840652,1.2683886610269142,0.45492134683672153,core
L-Serine,Particulate,NA,24,0.507191840506595,1.011701030666753,0.6008769575428451,core
L-Serine,Particulate,NA,48,0.2090359687940617,1.4701285641143713,0.4342745373630705,core
L-Serine,Particulate,NA,96,0.24005114408039618,1.355598201917224,0.4486288605432832,core
L-Tryptophan,Particulate,NA,0,0.4216902443336268,0.9001401114133831,0.5316789731759931,non-core
L-Tryptophan,Particulate,NA,6,0.26634771863415396,0.7880155210213238,0.4486288605432832,non-core
L-Tryptophan,Particulate,NA,12,0.393888812876922,1.125793758643796,0.527074238813723,non-core
L-Tryptophan,Particulate,NA,24,0.5434440366865556,1.2098024979014932,0.6239542643438231,non-core
L-Tryptophan,Particulate,NA,48,0.5117621621006567,1.2685645819618956,0.6024541908273554,non-core
L-Tryptophan,Particulate,NA,96,0.1623626234740301,0.6134745316930956,0.4275431362295414,non-core
L-Tyrosine,Particulate,NA,0,0.2726834932073454,1.067998116258117,0.452849372647913,core
L-Tyrosine,Particulate,NA,6,0.16307616342675038,0.8346241009643056,0.4275431362295414,core
L-Tyrosine,Particulate,NA,12,0.04299038388684198,0.5865750858022667,0.2909263140789584,core
L-Tyrosine,Particulate,NA,24,0.2552479811322189,0.7288062408598583,0.4486288605432832,core
L-Tyrosine,Particulate,NA,48,0.2531548842637953,0.8420447232409538,0.4486288605432832,core
L-Tyrosine,Particulate,NA,96,0.05717299462228291,0.48839732051803586,0.2909263140789584,core
N-Methyl-L-glutamic acid,Particulate,NA,0,0.23709906717251744,1.2086925854606316,0.4486288605432832,non-core
N-Methyl-L-glutamic acid,Particulate,NA,6,0.03584312877234866,0.6607193156045663,0.2909263140789584,non-core
N-Methyl-L-glutamic acid,Particulate,NA,12,0.21523104059518944,0.6650014595677297,0.4351410168554917,non-core
N-Methyl-L-glutamic acid,Particulate,NA,24,0.06412891869482418,0.6424048880959006,0.2909263140789584,non-core
N-Methyl-L-glutamic acid,Particulate,NA,48,0.03767643062290496,0.4587103214952093,0.2909263140789584,non-core
N-Methyl-L-glutamic acid,Particulate,NA,96,0.007618195080348597,0.16131050438768396,0.2833968569889678,non-core
glutamic_acid_13C_15N,Particulate,NA,0,0.026527602971307237,2271.173576301238,0.2909263140789584,non-core
glutamic_acid_13C_15N,Particulate,NA,6,0.03181291985718533,21431.806640004295,0.2909263140789584,non-core
glutamic_acid_13C_15N,Particulate,NA,12,0.0522276236912571,29562.7254134194,0.2909263140789584,non-core
glutamic_acid_13C_15N,Particulate,NA,24,0.1426676880844131,40433.13502746934,0.42120936482064825,non-core
glutamic_acid_13C_15N,Particulate,NA,48,0.07400078781569397,5544.736677637562,0.2952095713639601,non-core
glutamic_acid_13C_15N,Particulate,NA,96,0.23832731014792669,7.978305769803864,0.4486288605432832,non-core
homarine_13C_15N,Particulate,NA,0,0.0627232133273734,394.44856863419415,0.2909263140789584,non-core
homarine_13C_15N,Particulate,NA,6,0.05675795075283049,5524.6055395208405,0.2909263140789584,non-core
homarine_13C_15N,Particulate,NA,12,0.03427697172501044,5807.447691399773,0.2909263140789584,non-core
homarine_13C_15N,Particulate,NA,24,0.10311074203281864,7998.001786411985,0.3523869352721393,non-core
homarine_13C_15N,Particulate,NA,48,0.06662617645370958,5558.94806074262,0.2921062367679272,non-core
homarine_13C_15N,Particulate,NA,96,0.03322700516411313,1513.0857272722778,0.2909263140789584,non-core
n-methyl glutamic acid_13C_15N,Particulate,NA,0,0.017077110422088895,219.81454748506002,0.2909263140789584,non-core
n-methyl glutamic acid_13C_15N,Particulate,NA,6,0.03379583000161076,942.926289452071,0.2909263140789584,non-core
n-methyl glutamic acid_13C_15N,Particulate,NA,12,0.04911247178410291,1406.7734168531492,0.2909263140789584,non-core
n-methyl glutamic acid_13C_15N,Particulate,NA,24,0.10420043784928851,2091.2206756452324,0.3523869352721393,non-core
n-methyl glutamic acid_13C_15N,Particulate,NA,48,0.052698731166694934,668.9100668171232,0.2909263140789584,non-core
n-methyl glutamic acid_13C_15N,Particulate,NA,96,0.05132119358156943,17.01859863013618,0.2909263140789584,non-core
n-methyl glutamine,Particulate,NA,0,0.6759623821463923,0.7836055378766416,0.7103333507301072,non-core
n-methyl glutamine,Particulate,NA,6,0.05153779374664334,0.16920790728642754,0.2909263140789584,non-core
n-methyl glutamine,Particulate,NA,12,0.03790300249667959,0.031420035700719676,0.2909263140789584,non-core
n-methyl glutamine,Particulate,NA,24,0.038049829853451414,7.357963889786895e-4,0.2909263140789584,non-core
n-methyl glutamine,Particulate,NA,48,0.038044547623897,4.3934042029944095e-4,0.2909263140789584,non-core
n-methyl glutamine,Particulate,NA,96,0.15162223136916095,0.27481900244249025,0.4275431362295414,non-core
n-methyl glutamine_13C_15N,Particulate,NA,0,0.384513633758259,0.861571916117106,0.5250477111110318,non-core
n-methyl glutamine_13C_15N,Particulate,NA,6,0.07304380694087419,52.09637307342804,0.2952095713639601,non-core
n-methyl glutamine_13C_15N,Particulate,NA,12,0.035158009946923335,105.43237921853193,0.2909263140789584,non-core
n-methyl glutamine_13C_15N,Particulate,NA,24,0.12757259111867814,418.3353132134549,0.4096930483933284,non-core
n-methyl glutamine_13C_15N,Particulate,NA,48,0.1631945915004407,69.80532873302528,0.4275431362295414,non-core
n-methyl glutamine_13C_15N,Particulate,NA,96,0.05489711551908924,0.20835768132155152,0.2909263140789584,non-core
unknown_C6H9NO3_1_neg,Particulate,NA,0,0.154917585950163,3.853569025942366,0.4275431362295414,non-core
unknown_C6H9NO3_1_neg,Particulate,NA,6,0.1778998384149316,408.31317292898297,0.4275431362295414,non-core
unknown_C6H9NO3_1_neg,Particulate,NA,12,0.558020060186285,2.092400115213992,0.6328764097234696,non-core
unknown_C6H9NO3_1_neg,Particulate,NA,24,0.38672869044199654,3.124115138846248,0.5250477111110318,non-core
unknown_C6H9NO3_1_neg,Particulate,NA,48,0.7711626689624634,1.5816602736241878,0.7968680912612123,non-core
unknown_C6H9NO3_1_neg,Particulate,NA,96,0.4158103735435596,0.006569443156423796,0.5316789731759931,non-core
unknown_C6H9NO3_1_neg_13C_15N,Particulate,NA,0,0.4554188772731073,2.555548497111232,0.5500513712519349,non-core
unknown_C6H9NO3_1_neg_13C_15N,Particulate,NA,6,0.18690135701323246,14214.315282935551,0.4275431362295414,non-core
unknown_C6H9NO3_1_neg_13C_15N,Particulate,NA,12,0.5530756824350047,1.5539631743060698,0.6311170363982262,non-core
unknown_C6H9NO3_1_neg_13C_15N,Particulate,NA,24,0.7791370841513643,0.9139877470668557,0.800660208022949,non-core
unknown_C6H9NO3_1_neg_13C_15N,Particulate,NA,48,0.8487379611978539,0.9511374556140272,0.8487379611978539,non-core
unknown_C6H9NO3_1_neg_13C_15N,Particulate,NA,96,0.4695934536047853,6.4979393505479255,0.5635121443257424,non-core
unknown_C6H9NO3_2_neg,Particulate,NA,0,0.3449938788716206,2.5822591238377712,0.5013192302353237,non-core
